type_equipement,age,duree_vie_prevue,etat,derniere_maintenance,frequence_maintenance,nb_pannes,temps_fonctionnement_total,temps_moyen_reparation,temps_arret_panne,class_equipement
Tracteur,11,16,besoin de réparation,2024-02-04 17:50:08.840202,57,44,40810,2,19,B
Tondeuse agricole,13,16,besoin de réparation,2024-01-31 17:50:08.840206,47,47,48230,7,20,C
Tracteur,9,12,besoin de maintenance,2024-03-29 17:50:08.840209,51,26,33390,14,4,C
Tondeuse agricole,8,13,besoin de réparation,2024-02-03 17:50:08.840213,52,23,29680,15,14,B
Remorque agricole,9,12,besoin de réparation,2024-02-25 17:50:08.840217,36,29,33390,10,17,C
Semoir,10,13,bon état,2024-04-29 17:50:08.840221,51,36,37100,4,7,C
Semoir,6,10,besoin de maintenance,2024-03-25 17:50:08.840225,33,12,22260,11,47,B
Remorque agricole,10,15,bon état,2024-04-19 17:50:08.840228,37,36,37100,17,33,B
Tracteur,5,16,besoin de maintenance,2024-03-02 17:50:08.840232,43,16,18550,17,39,B
Tracteur,12,15,besoin de réparation,2024-03-01 17:50:08.840236,71,44,44520,12,6,C
Tracteur,6,16,besoin de maintenance,2024-03-28 17:50:08.840240,50,12,22260,6,19,B
Tondeuse agricole,11,12,bon état,2024-04-24 17:50:08.840244,81,40,40810,14,20,C
Tracteur,4,13,besoin de réparation,2024-04-15 17:50:08.840247,61,10,14840,16,41,B
Tondeuse agricole,13,10,besoin de réparation,2024-02-19 17:50:08.840251,25,26,48230,16,35,C
Tracteur,12,10,bon état,2024-04-17 17:50:08.840255,76,24,44520,2,24,C
Tracteur,12,16,bon état,2024-04-24 17:50:08.840259,51,44,44520,12,29,C
Semoir,3,10,bon état,2024-04-29 17:50:08.840263,41,9,11130,8,23,A
Remorque agricole,11,12,besoin de réparation,2024-02-10 17:50:08.840267,61,31,40810,7,11,C
Moissonneuse,9,10,besoin de maintenance,2024-03-09 17:50:08.840271,65,33,33390,18,32,C
Semoir,5,12,bon état,2024-04-23 17:50:08.840275,22,12,18550,8,7,B
Remorque agricole,5,11,besoin de réparation,2024-04-14 17:50:08.840279,73,12,18550,15,41,B
Tracteur,7,14,bon état,2024-04-17 17:50:08.840284,1,14,25970,18,18,B
Remorque agricole,12,14,besoin de maintenance,2024-03-17 17:50:08.840288,40,44,44520,13,38,C
Moissonneuse,9,14,bon état,2024-04-15 17:50:08.840292,71,36,33390,10,18,B
Tondeuse agricole,5,10,bon état,2024-04-23 17:50:08.840296,84,10,18550,4,18,B
Charrue,6,12,besoin de réparation,2024-04-05 17:50:08.840300,29,20,22260,5,25,B
Tondeuse agricole,12,13,besoin de maintenance,2024-03-15 17:50:08.840304,19,29,44520,17,26,C
Moissonneuse,9,11,bon état,2024-04-27 17:50:08.840308,35,36,33390,14,47,C
Tondeuse agricole,4,11,besoin de maintenance,2024-03-16 17:50:08.840313,17,13,14840,3,33,B
Moissonneuse,7,16,besoin de maintenance,2024-03-21 17:50:08.840317,74,26,25970,14,9,B
Charrue,9,10,besoin de maintenance,2024-03-10 17:50:08.840321,57,29,33390,12,14,C
Tondeuse agricole,7,12,bon état,2024-04-24 17:50:08.840325,63,17,25970,3,31,B
Charrue,10,11,besoin de réparation,2024-02-07 17:50:08.840329,78,40,37100,17,7,C
Moissonneuse,12,14,bon état,2024-04-17 17:50:08.840332,27,34,44520,6,43,C
Tondeuse agricole,10,14,besoin de réparation,2024-02-18 17:50:08.840336,25,20,37100,8,26,B
Moissonneuse,9,14,besoin de réparation,2024-02-25 17:50:08.840340,87,22,33390,18,42,B
Charrue,10,10,bon état,2024-04-27 17:50:08.840344,69,24,37100,13,2,C
Tracteur,12,13,besoin de maintenance,2024-03-16 17:50:08.840348,31,44,44520,13,11,C
Tondeuse agricole,10,10,besoin de réparation,2024-02-03 17:50:08.840352,34,40,37100,14,2,C
Tondeuse agricole,10,13,besoin de maintenance,2024-03-19 17:50:08.840355,22,36,37100,6,23,C
Semoir,8,14,besoin de réparation,2024-03-01 17:50:08.840359,22,26,29680,13,35,B
Charrue,8,12,besoin de maintenance,2024-03-30 17:50:08.840362,40,29,29680,11,29,B
Charrue,3,12,besoin de maintenance,2024-03-08 17:50:08.840366,36,12,11130,13,19,B
Moissonneuse,3,11,besoin de réparation,2024-04-06 17:50:08.840369,70,11,11130,7,33,B
Tracteur,9,10,besoin de maintenance,2024-03-26 17:50:08.840373,66,29,33390,14,11,C
Moissonneuse,3,12,besoin de réparation,2024-04-12 17:50:08.840377,46,11,11130,12,32,B
Moissonneuse,4,13,bon état,2024-04-18 17:50:08.840380,69,13,14840,3,7,B
Semoir,8,11,besoin de réparation,2024-02-17 17:50:08.840384,1,16,29680,18,33,B
Semoir,11,15,besoin de maintenance,2024-03-13 17:50:08.840387,40,31,40810,13,17,B
Charrue,10,12,besoin de maintenance,2024-03-24 17:50:08.840391,69,32,37100,12,39,C
Tondeuse agricole,10,16,bon état,2024-04-19 17:50:08.840395,19,28,37100,11,36,B
Moissonneuse,9,16,besoin de réparation,2024-01-31 17:50:08.840398,7,22,33390,3,19,B
Tondeuse agricole,11,11,besoin de réparation,2024-02-25 17:50:08.840402,16,36,40810,8,32,C
Remorque agricole,12,12,bon état,2024-04-15 17:50:08.840405,4,48,44520,6,37,C
Tondeuse agricole,9,12,besoin de réparation,2024-02-26 17:50:08.840409,48,36,33390,7,10,C
Tondeuse agricole,13,11,besoin de réparation,2024-02-16 17:50:08.840413,60,26,48230,7,26,C
Tracteur,6,11,bon état,2024-04-15 17:50:08.840416,81,17,22260,2,14,B
Charrue,7,16,besoin de réparation,2024-02-04 17:50:08.840420,46,17,25970,6,36,B
Tondeuse agricole,7,16,besoin de maintenance,2024-03-09 17:50:08.840423,80,28,25970,12,47,B
Moissonneuse,11,11,bon état,2024-04-21 17:50:08.840427,88,27,40810,8,25,C
Remorque agricole,7,13,bon état,2024-04-16 17:50:08.840430,53,14,25970,15,42,B
Tracteur,5,16,besoin de maintenance,2024-03-15 17:50:08.840435,1,16,18550,18,41,B
Charrue,12,12,besoin de maintenance,2024-03-23 17:50:08.840439,49,39,44520,6,37,C
Tondeuse agricole,12,11,bon état,2024-04-16 17:50:08.840442,65,48,44520,13,38,C
Remorque agricole,4,13,bon état,2024-04-19 17:50:08.840446,74,16,14840,6,36,B
Tracteur,4,10,bon état,2024-04-18 17:50:08.840450,63,8,14840,13,17,A
Semoir,11,13,besoin de maintenance,2024-03-16 17:50:08.840453,51,44,40810,2,4,C
Remorque agricole,3,13,besoin de réparation,2024-03-31 17:50:08.840457,32,11,11130,16,46,B
Charrue,5,15,besoin de réparation,2024-04-14 17:50:08.840461,78,18,18550,18,14,B
Charrue,11,11,bon état,2024-04-19 17:50:08.840465,9,36,40810,2,26,C
Semoir,13,13,bon état,2024-04-27 17:50:08.840468,76,32,48230,4,27,C
Tracteur,7,11,besoin de maintenance,2024-03-04 17:50:08.840472,21,26,25970,15,39,B
Semoir,9,11,besoin de réparation,2024-02-09 17:50:08.840476,70,22,33390,10,35,C
Tracteur,8,12,besoin de réparation,2024-02-20 17:50:08.840479,80,32,29680,3,13,B
Charrue,8,11,bon état,2024-04-16 17:50:08.840483,56,20,29680,2,10,B
Remorque agricole,9,11,besoin de maintenance,2024-03-19 17:50:08.840487,82,26,33390,8,18,C
Charrue,8,13,besoin de maintenance,2024-03-13 17:50:08.840490,84,16,29680,12,12,B
Remorque agricole,5,14,bon état,2024-04-29 17:50:08.840494,43,14,18550,4,34,B
Tondeuse agricole,13,11,bon état,2024-04-23 17:50:08.840497,85,42,48230,17,13,C
Charrue,8,14,bon état,2024-04-18 17:50:08.840501,23,23,29680,7,40,B
Tondeuse agricole,3,13,bon état,2024-04-26 17:50:08.840504,4,6,11130,18,4,A
Charrue,11,12,besoin de maintenance,2024-03-16 17:50:08.840508,64,44,40810,16,27,C
Semoir,5,14,besoin de réparation,2024-04-03 17:50:08.840511,62,16,18550,14,14,B
Tondeuse agricole,7,12,besoin de maintenance,2024-03-03 17:50:08.840515,71,17,25970,13,35,B
Tracteur,10,11,besoin de maintenance,2024-03-31 17:50:08.840518,65,24,37100,6,13,C
Tracteur,4,16,besoin de réparation,2024-04-14 17:50:08.840522,27,10,14840,8,3,B
Tracteur,7,14,besoin de réparation,2024-02-04 17:50:08.840526,87,28,25970,6,32,B
Tondeuse agricole,6,14,bon état,2024-04-17 17:50:08.840529,67,17,22260,12,15,B
Tondeuse agricole,9,15,besoin de réparation,2024-02-16 17:50:08.840533,65,22,33390,17,25,B
Charrue,5,13,besoin de maintenance,2024-03-29 17:50:08.840537,39,10,18550,13,33,B
Charrue,3,12,besoin de réparation,2024-04-08 17:50:08.840540,71,6,11130,17,9,B
Charrue,9,13,bon état,2024-04-16 17:50:08.840544,13,26,33390,15,43,B
Moissonneuse,9,16,bon état,2024-04-21 17:50:08.840547,34,22,33390,15,44,B
Tondeuse agricole,9,11,besoin de réparation,2024-02-16 17:50:08.840551,81,36,33390,10,37,C
Moissonneuse,5,14,besoin de réparation,2024-04-14 17:50:08.840555,81,10,18550,4,47,B
Remorque agricole,5,12,besoin de réparation,2024-04-11 17:50:08.840558,19,16,18550,6,41,B
Tracteur,9,14,bon état,2024-04-28 17:50:08.840562,82,18,33390,10,37,B
Tondeuse agricole,4,12,besoin de réparation,2024-04-15 17:50:08.840565,67,8,14840,12,11,B
Moissonneuse,3,16,bon état,2024-04-18 17:50:08.840569,85,8,11130,15,16,A
Remorque agricole,9,12,bon état,2024-04-28 17:50:08.840572,62,18,33390,2,15,C
Tondeuse agricole,3,16,bon état,2024-04-15 17:50:08.840576,30,9,11130,8,14,A
Tracteur,10,15,bon état,2024-04-17 17:50:08.840580,12,36,37100,7,36,B
Charrue,6,13,besoin de réparation,2024-04-01 17:50:08.840584,52,20,22260,12,10,B
Semoir,10,10,bon état,2024-04-27 17:50:08.840588,29,28,37100,13,45,C
Charrue,5,14,besoin de réparation,2024-04-01 17:50:08.840591,5,10,18550,3,40,B
Charrue,6,12,besoin de maintenance,2024-03-31 17:50:08.840595,64,20,22260,10,28,B
Charrue,11,13,besoin de réparation,2024-02-03 17:50:08.840598,57,36,40810,2,28,C
Semoir,6,14,besoin de réparation,2024-04-14 17:50:08.840602,49,12,22260,17,41,B
Tracteur,13,13,bon état,2024-04-20 17:50:08.840606,58,26,48230,6,19,C
Semoir,8,15,besoin de réparation,2024-02-23 17:50:08.840609,57,26,29680,13,6,B
Semoir,13,11,besoin de réparation,2024-02-09 17:50:08.840613,1,47,48230,12,7,C
Remorque agricole,10,16,bon état,2024-04-18 17:50:08.840617,16,32,37100,9,8,B
Charrue,10,10,besoin de maintenance,2024-03-08 17:50:08.840620,21,40,37100,17,10,C
Tracteur,12,14,besoin de maintenance,2024-03-29 17:50:08.840624,56,34,44520,16,44,C
